Country,Survey ,Year,MPI,Health,Education,Standard of living,Nutrition,Child mortality,Years of schooling,School attendance,Cooking fuel,Sanitation,Drinking water,Electricity,Housing,Assets
Honduras,MICS,2019,0.0511542,18.802836,39.20437,41.992791,16.82815046,1.974685751,19.862741,19.34163376,12.25570801,6.563236202,1.986013849,5.510555163,9.684173859,5.99310196
India,DHS,2019/2021,0.0688106,32.158868,28.170359,39.670771,28.57861245,3.580257604,18.70964669,9.460709153,11.22178955,9.112136171,2.151176198,1.677027292,10.98558323,4.523061673
Indonesia,DHS,2017,0.0140107,34.74209,26.767785,38.490122,,34.74209168,18.4564332,8.311354002,9.435956542,8.651875711,5.355627288,3.055753006,5.191167951,6.799740621
Iraq,MICS,2018,0.03269432,33.07199478,60.92340946,6.00459129,25.6971928,7.374803299,27.99297097,32.93044179,0.276307,2.396577164,0.701485451,0.085870048,2.248942722,0.295408751
Jamaica,JSLC,2018,0.0108103,52.21922,20.8905,26.89029,52.21921592,,10.5140168,10.37647691,4.832394144,5.698277127,6.497193536,1.533668312,6.096775692,2.231981546
Jordan,DHS,2017/2018,0.00152592,37.50389218,53.49046588,9.00564343,19.18368298,18.32020966,26.788619,26.70184466,0.342361428,1.427245281,2.101721028,0,3.918920662,1.215395301
Kazakhstan,MICS,2015,0.001610633,90.44342714,3.113525128,6.443047727,46.68324982,43.76017732,0.190452623,2.923072505,1.037841709,0,2.08550346,0.063484208,3.192734143,0.063484208
Kenya,DHS,2014,0.170776075,23.51940041,14.97171459,61.508885,20.0706142,3.448786209,9.708367125,5.263347467,11.975274,10.71992225,8.755967491,11.36982142,12.16866864,6.519231198
Kiribati,MICS,2018/2019,0.0801574,30.257832,12.1008645,57.6413,21.29525235,8.962582204,0.786614538,11.31425031,10.47784087,11.22571176,5.571891912,10.51941684,13.28390135,6.562537872
Kyrgyzstan,MICS,2018,0.001426,64.60405,17.853846,17.542096,45.93744158,18.66661365,4.61304622,13.2408046,10.29215784,2.064129218,3.758992189,0,1.426814714,0
Lao People's Democratic Republic,MICS,2017,0.10833325,21.49090022,39.66721296,38.84188831,18.52779268,2.963106078,25.6138066,14.05340355,11.74350949,8.81446664,5.356354273,3.111598548,6.166456979,3.649505159
Lesotho,MICS,2018,0.0843592,21.869073,18.134714,59.996212,18.93622849,2.932842649,10.90512957,7.229583892,,11.69910312,9.181782034,14.51267248,12.55974943,12.04290834
Liberia,DHS,2019/2020,0.2592937,19.722431,28.58321,51.694365,15.82964073,3.892791072,16.43871666,12.14448649,11.10055377,10.03524577,4.886905391,10.24920932,7.83601631,7.586434499
Libya,PAPFAM,2014,0.007421465,38.99509013,48.56853783,12.43637279,34.09859504,4.896494608,29.06492268,19.50361415,0.174622716,2.419223871,6.338643717,0.347372896,2.906533498,0.249976815
Madagascar,MICS,2018,0.3839745,15.490476,33.05917,51.450353,13.22855113,2.261926237,21.42753345,11.63163619,9.969708862,9.873929845,7.644679348,7.971874854,8.914542606,7.075617475
Malawi,MICS,2019/2020,0.2310952,18.597766,25.52707,55.87516,15.97245017,2.625316291,19.89233253,5.634740162,11.94490663,7.7371799,5.34989666,11.22997025,10.79317429,8.820033125
Maldives,DHS,2016/2017,0.00265409,80.6948781,15.13147652,4.17364351,46.26450812,34.43037291,4.897263428,10.23421184,0.594794816,0.376469708,0.613362401,0.114823903,2.359368972,0.114823903
Mali,DHS,2018,0.3760629,19.56991,41.16679,39.263299,14.32066966,5.249239903,20.57274127,20.59404802,10.0012139,7.689730511,4.980053568,6.428652527,8.934635648,1.229014994
Mauritania,DHS,2019/2021,0.3270372,17.69962,42.43541,39.864962,14.99319376,2.706430264,20.54474161,21.89067344,8.152225924,7.167730643,5.125544513,8.045499659,7.94731637,3.426643822
Mexico,ENSANUT,2020,0.0280538,79.41604,7.330932,13.2530292,79.4160385,,3.088384849,4.242546517,4.105935478,2.437162894,0.500222316,0.126878923,4.448862378,1.633968151
Moldova (Republic of),MICS,2012,0.00353391,9.18348208,42.38091111,48.43560755,9.183482288,0,32.73931716,9.641592269,9.499677036,11.34164285,9.177998279,0.86899791,8.687629027,8.859663177
Mongolia,MICS,2018,0.0281268,21.093217,26.7965,52.110284,16.67983969,4.413377479,17.16282958,9.633670108,13.70890091,13.88765802,9.401716371,1.535177127,12.1422393,1.434591412
Montenegro,MICS,2018,0.0048989,58.4658,22.31904,19.2151676,32.45198501,26.01381121,11.68824094,10.63079534,12.63813052,1.962869572,0.160661259,0.565150891,3.328994881,0.55936037
