ISO3,Country,Period,Total,Women,Men,Share of people with no bias,Political,Educational,Economic,Physical integrity
TJK,Tajikistan,2017-2022,99.92,99.83,100.00,0.08,78.33,51.67,78.08,97.50
THA,Thailand,2017-2022,95.80,95.18,96.43,4.20,68.54,33.17,56.42,81.04
TTO,Trinidad and Tobago,2010-2014,86.44,84.72,88.45,13.56,41.34,5.66,37.51,74.02
TUN,Tunisia,2017-2022,96.68,95.08,98.53,3.32,83.49,24.92,71.15,77.08
TUR,Türkiye,2017-2022,91.08,88.45,93.65,8.92,70.02,32.68,65.65,75.57
UKR,Ukraine,2017-2022,84.21,80.91,89.19,15.79,56.51,24.77,55.89,61.82
GBR,United Kingdom,2017-2022,29.60,27.15,32.35,70.40,20.86,2.71,10.37,8.23
USA,United States,2017-2022,50.22,50.69,49.81,49.78,35.31,8.62,13.90,30.78
URY,Uruguay,2017-2022,60.78,60.20,62.03,39.22,31.57,5.24,18.24,44.34
UZB,Uzbekistan,2010-2014,98.03,97.68,98.57,1.97,80.08,49.02,81.19,84.18
VEN,Venezuela (Bolivarian Republic of),2017-2022,92.35,91.28,93.52,7.65,55.80,17.90,31.01,80.84
VNM,Viet Nam,2017-2022,93.80,93.14,94.60,6.20,65.53,27.67,64.33,77.75
YEM,Yemen,2010-2014,98.36,97.26,99.49,1.64,89.48,47.38,88.82,84.19
ZWE,Zimbabwe,2017-2022,98.62,98.80,98.44,1.38,62.17,14.32,55.39,95.62
BGR,Bulgaria,2005-2009,76.37,67.22,87.19,23.63,55.49,11.29,37.33,41.33
BFA,Burkina Faso,2005-2009,98.71,98.31,99.03,1.29,68.67,34.75,80.18,90.91
FIN,Finland,2005-2009,51.63,45.69,58.22,48.37,25.56,6.87,24.29,30.19
FRA,France,2005-2009,56.47,56.19,56.77,43.53,36.34,6.93,26.21,22.95
HUN,Hungary,2005-2009,67.23,62.58,72.73,32.77,44.29,19.16,39.85,31.53
ITA,Italy,2005-2009,61.58,57.95,65.39,38.42,19.24,8.02,29.72,45.50
MLI,Mali,2005-2009,99.63,99.26,100.00,0.37,84.71,49.59,90.95,92.93
MDA,Moldova (Republic of),2005-2009,90.05,88.48,91.74,9.95,61.23,16.91,60.04,66.80
NOR,Norway,2005-2009,40.93,38.37,43.46,59.07,19.48,3.73,22.07,16.77
CHE,Switzerland,2005-2009,54.86,54.02,55.86,45.14,21.40,8.82,29.38,29.51
ZMB,Zambia,2005-2009,97.28,95.85,98.63,2.72,67.78,24.31,56.85,90.35
